case_id,category,symptom,topology_note,show_output,expected_fault,osi_layer,concept_tag,severity
C001,VLAN,PC in VLAN 30 gets an IP but cannot reach the file server also in VLAN 30.,"PC1 (Fa0/2) and Server1 (Fa0/3) both on SW1, meant to be VLAN 30. Trunk to core router carries VLANs 10,20,30.","SW1# show vlan brief
VLAN Name                             Status    Ports
10   Sales                            active    Fa0/4, Fa0/5
20   HR                               active    Fa0/6
30   Servers                          active    Fa0/3
1    default                          active    Fa0/2, Fa0/7-24

SW1# show interfaces fa0/2 switchport
Name: Fa0/2
Switchport: Enabled
Administrative Mode: static access
Access Mode VLAN: 1 (default)","Fa0/2 is assigned to VLAN 1 (default) instead of VLAN 30, so PC1 cannot reach Server1 which is in VLAN 30.",Layer 2,vlan_port_assignment,Medium
C002,VLAN,"Two switches connected by a trunk link, but hosts in VLAN 20 on SW2 cannot reach hosts in VLAN 20 on SW1.",SW1 Gi0/1 <-> SW2 Gi0/1 trunk link. VLAN 20 exists on SW1 but was never created on SW2.,"SW2# show vlan brief
VLAN Name                             Status    Ports
1    default                          active    Gi0/2-24
10   Sales                            active    Fa0/5

SW2# show interfaces trunk
Port      Mode         Encapsulation  Status        Native vlan
Gi0/1     on           802.1q         trunking      1

Vlans allowed on trunk
Gi0/1     1-4094

Vlans in spanning tree forwarding state and not pruned
Gi0/1     1,10","VLAN 20 does not exist in SW2's VLAN database, so traffic tagged VLAN 20 arriving on the trunk is dropped.",Layer 2,missing_vlan,High
C003,VLAN,PC cannot get an IP via DHCP after being moved to a new access port.,PC moved from Fa0/2 (VLAN 10) to Fa0/8. Fa0/8 was previously configured as a trunk port for a test AP.,"SW1# show interfaces fa0/8 switchport
Name: Fa0/8
Switchport: Enabled
Administrative Mode: trunk
Operational Mode: trunk
Access Mode VLAN: 1 (default)","Fa0/8 is still configured as a trunk port instead of an access port in VLAN 10, so the PC's untagged DHCP request is not handled correctly.",Layer 2,port_mode_mismatch,Medium
C004,VLAN,Voice VLAN phone works but the PC daisy-chained through the phone has no connectivity.,Fa0/10 configured with voice VLAN 100 for IP phone; PC connects through phone's switch port.,"SW1# show interfaces fa0/10 switchport
Name: Fa0/10
Switchport: Enabled
Administrative Mode: static access
Access Mode VLAN: 20 (Data)
Voice VLAN: none","Voice VLAN is not configured on Fa0/10 (shows 'none'), so the phone and PC are both being forced into the same data VLAN, causing tagging conflicts.",Layer 2,voice_vlan_missing,Low
C005,Gateway,"PC gets an IP address but cannot reach any network outside its own subnet, including the gateway.","PC1 in VLAN 10, subnet 192.168.10.0/24. Router sub-interface Gi0/0.10 configured for VLAN 10.","PC1> ipconfig
IP Address: 192.168.10.25
Subnet Mask: 255.255.255.0
Default Gateway: 192.168.20.1

PC1> ping 192.168.20.1
Request timed out.",PC1's configured default gateway (192.168.20.1) is outside its own subnet (192.168.10.0/24); the gateway should be 192.168.10.1.,Layer 3,gateway_wrong_subnet,High
C006,Gateway,PC can ping its own gateway but cannot reach a server on a different VLAN.,Router-on-a-stick setup with sub-interfaces for VLAN 10 and VLAN 30.,"R1# show ip interface brief
Interface              IP-Address      Status     Protocol
GigabitEthernet0/0.10  192.168.10.1    up         up
GigabitEthernet0/0.30  unassigned      up         up","Sub-interface Gi0/0.30 has no IP address configured, so inter-VLAN routing for VLAN 30 cannot function.",Layer 3,subinterface_no_ip,High
C007,Gateway,New PC on the network cannot ping the gateway even though cabling and VLAN are confirmed correct.,PC statically configured. Subnet is 192.168.1.0/25 (mask 255.255.255.128).,"PC1> ipconfig
IP Address: 192.168.1.130
Subnet Mask: 255.255.255.0
Default Gateway: 192.168.1.1","PC's subnet mask (255.255.255.0) is wrong for a /25 network; with the correct /25 mask, 192.168.1.130 falls in a different subnet than gateway 192.168.1.1.",Layer 3,wrong_subnet_mask,Medium
C008,Gateway,All PCs in VLAN 40 lost connectivity to other VLANs after a router reload.,"Router-on-a-stick, sub-interface Gi0/0.40 for VLAN 40.","R1# show ip interface brief
Interface              IP-Address      Status                  Protocol
GigabitEthernet0/0.40  192.168.40.1    administratively down   down","Sub-interface Gi0/0.40 is administratively down (likely 'shutdown' was not removed after reload), so no traffic is routed for VLAN 40.",Layer 3,interface_admin_down,High
C009,DHCP,PC shows an APIPA address (169.254.x.x) instead of getting an address from the DHCP server.,"PC in VLAN 10, DHCP server configured on router with pool for 192.168.10.0/24.","R1# show ip dhcp pool
Pool VLAN10 :
 Utilization mark (high/low)    : 100 / 0
 Subnet size (first/last)       : 0 / 0
 Total addresses                : 254
 Leased addresses               : 254
 Excluded addresses             : 0","DHCP pool for VLAN10 is fully exhausted (254/254 leased), so no new addresses can be issued and the PC falls back to APIPA.",Layer 3/7,dhcp_pool_exhausted,High
C010,DHCP,PC in VLAN 20 (a different subnet from the router's LAN interface) is not receiving a DHCP address.,DHCP server is centralized on R1's Gi0/0.10 interface. VLAN 20 uses sub-interface Gi0/0.20.,"R1# show run interface gi0/0.20
interface GigabitEthernet0/0.20
 encapsulation dot1Q 20
 ip address 192.168.20.1 255.255.255.0
(no ip helper-address configured)","Gi0/0.20 has no 'ip helper-address' pointing to the DHCP server, so DHCP broadcasts from VLAN 20 are never relayed.",Layer 3,missing_ip_helper,High
